Trocha(mm),Peralte(mm),Distancia(m),Latitud,Longitud,Velocidad(km/h),HoraGPS
999.2, -37.92,185.412, No data,No data,0.0,00:00:00
997.2, 4.25,186.164, No data,No data,0.0,00:00:00
988.6, -2.94,186.496, -34.597159,-58.388545,0.0,11:37:09
988.1, -5.53,186.870, No data,No data,0.0,00:00:00
988.7, -2.21,187.309, No data,No data,0.0,00:00:00
987.7, -14.38,187.563, No data,No data,0.0,00:00:00
984.8, -11.57,188.179, No data,No data,0.0,00:00:00
985.7, -13.43,188.893, No data,No data,0.0,00:00:00
986.4, -13.44,189.681, No data,No data,0.0,00:00:00
987.9, -13.65,190.467, No data,No data,0.0,00:00:00
989.8, -11.65,191.309, No data,No data,0.0,00:00:00
992.7, -35.25,192.222, No data,No data,0.0,00:00:00
994.4, -27.88,193.139, No data,No data,0.0,00:00:00
997.3, -34.30,193.932, No data,No data,0.0,00:00:00
999.0, -13.66,194.850, No data,No data,0.0,00:00:00
1003.3, -33.40,196.050, No data,No data,0.0,00:00:00
1008.5, -18.72,197.197, No data,No data,0.0,00:00:00
1011.0, -89.15,198.314, No data,No data,0.0,00:00:00
1011.9, -31.25,199.376, No data,No data,0.0,00:00:00
1012.5, -20.32,200.366, No data,No data,0.0,00:00:00
1011.4, -30.67,201.295, No data,No data,0.0,00:00:00
1012.6, -34.11,201.943, No data,No data,0.0,00:00:00
1013.5, -34.90,202.682, No data,No data,0.0,00:00:00
1015.9, -31.77,203.503, No data,No data,0.0,00:00:00
1022.9, -79.69,204.449, No data,No data,0.0,00:00:00
1022.5, -42.67,205.647, No data,No data,0.0,00:00:00
1022.7, -38.48,206.772, No data,No data,0.0,00:00:00
1022.1, -66.10,207.764, No data,No data,0.0,00:00:00
1022.4, -7.39,208.502, No data,No data,0.0,00:00:00
1020.8, -27.94,209.063, No data,No data,0.0,00:00:00
1019.7, -83.63,209.815, No data,No data,0.0,00:00:00
1020.4, -61.80,210.592, No data,No data,0.0,00:00:00
1019.7, -61.00,211.554, No data,No data,0.0,00:00:00
1019.7, -103.03,212.535, No data,No data,0.0,00:00:00
1019.1, -81.68,213.435, No data,No data,0.0,00:00:00
1018.8, 19.82,214.178, No data,No data,0.0,00:00:00
1018.0, -75.89,215.248, No data,No data,0.0,00:00:00
1018.4, -9.25,216.269, No data,No data,0.0,00:00:00
1018.1, -18.74,217.336, No data,No data,0.0,00:00:00
1019.7, -69.36,218.368, No data,No data,0.0,00:00:00
1021.2, -81.46,219.503, No data,No data,0.0,00:00:00
1022.5, -61.93,220.531, No data,No data,0.0,00:00:00
1024.7, -8.18,221.482, No data,No data,0.0,00:00:00
1026.1, -19.30,222.526, No data,No data,0.0,00:00:00
1026.9, -36.35,223.645, No data,No data,0.0,00:00:00
1027.0, -33.10,224.696, -34.597198,-58.388449,0.0,11:37:30
1027.6, -32.55,225.578, No data,No data,0.0,00:00:00
1027.4, -53.80,226.310, -34.597201,-58.388445,0.0,11:37:31
1023.9, -20.77,226.577, No data,No data,0.0,00:00:00
1027.9, -21.06,226.838, No data,No data,0.0,00:00:00
1024.7, -16.21,227.188, No data,No data,0.0,00:00:00
1023.2, 5.00,227.446, No data,No data,0.0,00:00:00
1020.4, -97.77,228.083, No data,No data,0.0,00:00:00
1017.4, 29.29,228.689, No data,No data,0.0,00:00:00
1016.2, -33.11,229.477, No data,No data,0.0,00:00:00
1012.8, -52.07,230.371, No data,No data,0.0,00:00:00
1012.1, 3.11,231.210, No data,No data,0.0,00:00:00
1008.4, -61.06,231.823, No data,No data,0.0,00:00:00
1009.4, -8.00,232.297, No data,No data,0.0,00:00:00
1006.4, -61.13,233.122, No data,No data,0.0,00:00:00
1005.0, -115.27,233.863, No data,No data,0.0,00:00:00
1004.3, -87.63,234.671, No data,No data,0.0,00:00:00
1006.5, -59.26,235.346, -34.597182,-58.388457,0.0,11:37:51
1006.1, 38.06,236.102, No data,No data,0.0,00:00:00
1009.0, -2.91,236.890, -34.597186,-58.388457,0.0,11:37:52
1008.0, -71.76,237.772, No data,No data,0.0,00:00:00
1010.8, -49.14,238.665, -34.597186,-58.388453,0.0,11:37:53
1010.0, -106.59,239.764, No data,No data,0.0,00:00:00
1012.6, -36.19,240.674, -34.597186,-58.388449,0.9,11:37:54
1010.0, -12.53,241.869, No data,No data,0.0,00:00:00
1012.5, -34.86,242.961, No data,No data,0.0,00:00:00
1012.9, -53.78,243.900, No data,No data,0.0,00:00:00
1010.3, 30.27,244.778, No data,No data,0.0,00:00:00
1012.6, -73.22,245.794, No data,No data,0.0,00:00:00
1010.1, -20.83,246.630, No data,No data,0.0,00:00:00
1008.3, -30.76,247.440, No data,No data,0.0,00:00:00
1007.7, 8.39,248.315, No data,No data,0.0,00:00:00
1009.2, 47.19,249.218, No data,No data,0.0,00:00:00
1009.9, -142.96,250.067, No data,No data,0.0,00:00:00
1009.3, -47.37,251.027, No data,No data,0.0,00:00:00
1011.2, -184.27,251.973, No data,No data,0.0,00:00:00
1009.1, -32.86,252.948, No data,No data,0.0,00:00:00
1010.1, -50.05,253.882, No data,No data,0.0,00:00:00
1011.7, -109.41,254.766, No data,No data,0.0,00:00:00
1011.6, 16.14,255.654, No data,No data,0.0,00:00:00
1010.8, -21.41,256.409, No data,No data,0.0,00:00:00
1007.9, -53.70,257.004, No data,No data,0.0,00:00:00
1007.3, 11.58,257.606, No data,No data,0.0,00:00:00
1009.0, 152.08,258.287, No data,No data,0.0,00:00:00
1009.9, -24.40,259.118, No data,No data,0.0,00:00:00
1007.9, -82.86,259.756, No data,No data,0.0,00:00:00
1007.2, -15.12,260.483, No data,No data,0.0,00:00:00
1008.3, -47.70,261.494, No data,No data,0.0,00:00:00
1007.2, -11.73,261.810, No data,No data,0.0,00:00:00
1011.3, 15.95,262.194, -34.597198,-58.388430,0.0,11:38:14
1011.8, 32.19,262.498, No data,No data,0.0,00:00:00
1010.5, -15.93,262.915, No data,No data,0.0,00:00:00
1011.1, -7.83,263.472, No data,No data,0.0,00:00:00
1009.8, -45.70,263.899, No data,No data,0.0,00:00:00
1008.8, 43.79,264.465, No data,No data,0.0,00:00:00
1007.8, 11.58,264.779, No data,No data,0.0,00:00:00
1007.7, 48.45,265.322, No data,No data,0.0,00:00:00
1005.2, 30.90,266.050, No data,No data,0.0,00:00:00
1005.4, -96.92,266.832, No data,No data,0.0,00:00:00
1002.6, 10.24,267.374, No data,No data,0.0,00:00:00
1004.7, 11.00,267.704, No data,No data,0.0,00:00:00
1001.5, 3.32,268.562, No data,No data,0.0,00:00:00
1000.5, 110.19,269.346, No data,No data,0.0,00:00:00
999.1, -147.26,270.246, No data,No data,0.0,00:00:00
999.4, -115.01,271.112, No data,No data,0.0,00:00:00
999.1, 3.88,271.938, -34.597190,-58.388400,0.0,11:38:28
1000.6, -38.91,272.682, No data,No data,0.0,00:00:00
997.6, 21.77,273.551, -34.597190,-58.388396,0.0,11:38:29
996.8, -105.78,274.323, No data,No data,0.0,00:00:00
1000.1, -6.39,274.781, -34.597190,-58.388396,0.0,11:38:30
1000.2, 45.91,275.420, No data,No data,0.0,00:00:00
999.5, -143.77,276.269, No data,No data,0.0,00:00:00
1000.1, -63.36,277.040, No data,No data,0.0,00:00:00
999.8, 119.83,277.730, No data,No data,0.0,00:00:00
999.6, -136.88,278.405, No data,No data,0.0,00:00:00
999.5, -166.36,279.105, No data,No data,0.0,00:00:00
1001.4, 102.80,279.853, No data,No data,0.0,00:00:00
1003.3, -17.48,280.421, No data,No data,0.0,00:00:00
1001.2, -56.88,281.222, No data,No data,0.0,00:00:00
1003.2, 5.75,282.120, No data,No data,0.0,00:00:00
1004.5, -44.70,282.910, No data,No data,0.0,00:00:00
1002.9, 111.74,283.826, No data,No data,0.0,00:00:00
1001.9, 19.41,284.775, No data,No data,0.0,00:00:00
1004.0, 25.06,285.580, No data,No data,0.0,00:00:00
1004.6, -26.13,286.232, No data,No data,0.0,00:00:00
1003.5, 11.00,286.913, No data,No data,0.0,00:00:00
1005.8, 52.88,287.617, No data,No data,0.0,00:00:00
1005.6, -12.65,288.282, No data,No data,0.0,00:00:00
1007.2, 42.41,289.074, No data,No data,0.0,00:00:00
1006.3, -37.83,289.833, No data,No data,0.0,00:00:00
1002.8, 20.17,290.837, No data,No data,0.0,00:00:00
1001.9, -66.47,291.769, No data,No data,0.0,00:00:00
1003.4, -39.59,292.591, No data,No data,0.0,00:00:00
1003.7, 18.31,293.417, No data,No data,0.0,00:00:00
1003.7, -56.09,294.034, No data,No data,0.0,00:00:00
1001.7, 25.20,294.697, No data,No data,0.0,00:00:00
1003.8, -126.56,295.492, No data,No data,0.0,00:00:00
1002.3, -167.55,296.454, No data,No data,0.0,00:00:00
1004.4, 29.56,297.367, No data,No data,0.0,00:00:00
1009.6, -30.61,298.144, No data,No data,0.0,00:00:00
1007.8, 3.50,298.876, No data,No data,0.0,00:00:00
1008.7, -90.08,299.786, No data,No data,0.0,00:00:00
1006.8, -74.50,300.783, No data,No data,0.0,00:00:00
1005.6, -10.39,301.837, No data,No data,0.0,00:00:00
1006.5, -123.51,302.747, No data,No data,0.0,00:00:00
1003.0, -5.86,303.803, No data,No data,0.0,00:00:00
1002.7, -35.44,304.683, No data,No data,0.0,00:00:00
1005.5, 42.54,305.580, No data,No data,0.0,00:00:00
1002.3, 13.98,306.527, No data,No data,0.0,00:00:00
1002.3, -13.72,307.304, No data,No data,0.0,00:00:00
1000.3, -62.62,308.217, No data,No data,0.0,00:00:00
1000.3, 12.47,309.287, No data,No data,0.0,00:00:00
1000.6, -38.72,310.250, No data,No data,0.0,00:00:00
1002.5, -23.64,311.287, No data,No data,0.0,00:00:00
1004.5, 32.76,312.262, -34.597220,-58.388346,0.0,11:38:49
1005.4, 38.78,313.449, No data,No data,0.0,00:00:00
1009.0, 84.47,314.494, -34.597220,-58.388342,0.0,11:38:50
1010.2, -42.89,315.591, No data,No data,0.0,00:00:00
1009.7, -47.76,316.669, -34.597220,-58.388339,0.0,11:38:51
1010.1, -86.43,317.812, No data,No data,0.0,00:00:00
1010.2, -101.33,318.904, -34.597220,-58.388335,1.3,11:38:52
1011.4, -26.33,320.111, No data,No data,0.0,00:00:00
1011.1, -59.34,321.220, No data,No data,0.0,00:00:00
1005.7, -66.91,322.343, No data,No data,0.0,00:00:00
1006.9, -49.51,323.401, No data,No data,0.0,00:00:00
1006.3, -61.31,324.357, No data,No data,0.0,00:00:00
1004.8, -33.46,325.167, No data,No data,0.0,00:00:00
1008.3, -15.51,326.030, No data,No data,0.0,00:00:00
1006.0, 4.81,326.978, No data,No data,0.0,00:00:00
1008.5, -49.21,327.830, No data,No data,0.0,00:00:00
1007.6, -83.21,328.787, No data,No data,0.0,00:00:00
1002.8, -87.87,329.687, No data,No data,0.0,00:00:00
1003.0, -9.79,330.786, No data,No data,0.0,00:00:00
1005.3, 10.25,331.737, No data,No data,0.0,00:00:00
1004.4, -35.69,332.684, No data,No data,0.0,00:00:00
1005.5, -22.22,333.524, No data,No data,0.0,00:00:00
1006.5, -20.93,334.305, No data,No data,0.0,00:00:00
1006.5, -88.00,335.291, No data,No data,0.0,00:00:00
1003.7, 42.48,336.209, No data,No data,0.0,00:00:00
1006.5, 23.04,337.308, No data,No data,0.0,00:00:00
1004.0, 7.62,338.484, No data,No data,0.0,00:00:00
1003.4, -10.36,339.537, No data,No data,0.0,00:00:00
1004.5, -27.82,340.586, No data,No data,0.0,00:00:00
1007.1, -3.46,341.581, No data,No data,0.0,00:00:00
1006.2, 34.49,342.500, No data,No data,0.0,00:00:00
1007.8, 49.02,343.475, No data,No data,0.0,00:00:00
1007.2, -19.25,344.522, No data,No data,0.0,00:00:00
1007.3, -7.03,345.641, No data,No data,0.0,00:00:00
1009.6, 15.17,346.648, No data,No data,0.0,00:00:00
1007.6, 55.22,347.721, No data,No data,0.0,00:00:00
1006.2, -5.52,348.945, No data,No data,0.0,00:00:00
1005.5, -38.17,350.355, No data,No data,0.0,00:00:00
1004.5, 13.44,351.689, No data,No data,0.0,00:00:00
1002.5, 0.32,352.972, No data,No data,0.0,00:00:00
1001.2, -46.04,354.319, No data,No data,0.0,00:00:00
999.7, -62.40,355.503, No data,No data,0.0,00:00:00
999.2, 12.46,356.627, No data,No data,0.0,00:00:00
998.1, -66.77,357.750, No data,No data,0.0,00:00:00
995.9, -31.09,358.882, No data,No data,0.0,00:00:00
995.5, -3.93,360.074, -34.597262,-58.388266,0.0,11:39:11
995.7, -7.83,361.354, No data,No data,0.0,00:00:00
996.9, -127.77,362.447, -34.597278,-58.388266,0.0,11:39:12
999.5, -18.89,363.754, No data,No data,0.0,00:00:00
1001.6, -7.34,364.859, -34.597278,-58.388262,0.0,11:39:13
1004.7, 11.75,366.026, No data,No data,0.0,00:00:00
1008.4, -50.52,367.088, -34.597274,-58.388255,1.4,11:39:14
